tick,role,input,action,x,y,grounded,crouching,facing,aimX,aimY,phase,shotSequence,hp,muzzleX,muzzleY
35,REPAIR,RUN_RIGHT,RUN,780.000,270.000,true,false,1,1.00000,0.00000,3.14159,2,100,813.000,270.000
35,SCOUT,RUN_RIGHT,RUN,803.400,270.000,true,false,1,1.00000,0.00000,0.53407,2,100,836.400,270.000
35,WARDEN,RUN_RIGHT,RUN,756.600,270.000,true,false,1,1.00000,0.00000,5.74911,2,100,789.600,270.000
35,ENGINEER,RUN_RIGHT,RUN,772.800,270.000,true,false,1,1.00000,0.00000,2.01062,2,100,805.800,270.000
36,REPAIR,RUN_RIGHT,RUN,785.000,270.000,true,false,1,1.00000,0.00000,3.92699,3,100,818.000,270.000
36,SCOUT,RUN_RIGHT,RUN,809.050,270.000,true,false,1,1.00000,0.00000,1.42157,3,100,842.050,270.000
36,WARDEN,RUN_RIGHT,RUN,760.950,270.000,true,false,1,1.00000,0.00000,0.14923,3,100,793.950,270.000
36,ENGINEER,RUN_RIGHT,RUN,777.600,270.000,true,false,1,1.00000,0.00000,2.76460,3,100,810.600,270.000
37,REPAIR,RUN_RIGHT,RUN,790.000,270.000,true,false,1,1.00000,0.00000,4.71239,3,100,823.000,270.000
37,SCOUT,RUN_RIGHT,RUN,814.700,270.000,true,false,1,1.00000,0.00000,2.30907,3,100,847.700,270.000
37,WARDEN,RUN_RIGHT,RUN,765.300,270.000,true,false,1,1.00000,0.00000,0.83252,3,100,798.300,270.000
37,ENGINEER,RUN_RIGHT,RUN,782.400,270.000,true,false,1,1.00000,0.00000,3.51858,3,100,815.400,270.000
38,REPAIR,RUN_RIGHT,RUN,795.000,270.000,true,false,1,1.00000,0.00000,5.49779,3,100,828.000,270.000
38,SCOUT,RUN_RIGHT,RUN,820.350,270.000,true,false,1,1.00000,0.00000,3.19657,3,100,853.350,270.000
38,WARDEN,RUN_RIGHT,RUN,769.650,270.000,true,false,1,1.00000,0.00000,1.51582,3,100,802.650,270.000
38,ENGINEER,RUN_RIGHT,RUN,787.200,270.000,true,false,1,1.00000,0.00000,4.27257,3,100,820.200,270.000
39,REPAIR,RUN_RIGHT,RUN,800.000,270.000,true,false,1,1.00000,0.00000,0.00000,3,100,833.000,270.000
39,SCOUT,RUN_RIGHT,RUN,826.000,270.000,true,false,1,1.00000,0.00000,4.08407,3,100,859.000,270.000
39,WARDEN,RUN_RIGHT,RUN,774.000,270.000,true,false,1,1.00000,0.00000,2.19911,3,100,807.000,270.000
39,ENGINEER,RUN_RIGHT,RUN,792.000,270.000,true,false,1,1.00000,0.00000,5.02655,3,100,825.000,270.000
40,REPAIR,RUN_LEFT,RUN,795.000,270.000,true,false,-1,-1.00000,0.00000,0.78540,3,100,792.000,270.000
40,SCOUT,RUN_LEFT,RUN,820.350,270.000,true,false,-1,-1.00000,0.00000,4.97157,3,100,817.350,270.000
40,WARDEN,RUN_LEFT,RUN,769.650,270.000,true,false,-1,-1.00000,0.00000,2.88241,3,100,766.650,270.000
40,ENGINEER,RUN_LEFT,RUN,787.200,270.000,true,false,-1,-1.00000,0.00000,5.78053,3,100,784.200,270.000
41,REPAIR,RUN_LEFT,RUN,790.000,270.000,true,false,-1,-1.00000,0.00000,1.57080,3,100,787.000,270.000
41,SCOUT,RUN_LEFT,RUN,814.700,270.000,true,false,-1,-1.00000,0.00000,5.85907,3,100,811.700,270.000
41,WARDEN,RUN_LEFT,RUN,765.300,270.000,true,false,-1,-1.00000,0.00000,3.56571,3,100,762.300,270.000
41,ENGINEER,RUN_LEFT,RUN,782.400,270.000,true,false,-1,-1.00000,0.00000,0.25133,3,100,779.400,270.000
42,REPAIR,RUN_LEFT,RUN,785.000,270.000,true,false,-1,-1.00000,0.00000,2.35619,3,100,782.000,270.000
42,SCOUT,RUN_LEFT,RUN,809.050,270.000,true,false,-1,-1.00000,0.00000,0.46338,3,100,806.050,270.000
42,WARDEN,RUN_LEFT,RUN,760.950,270.000,true,false,-1,-1.00000,0.00000,4.24900,3,100,757.950,270.000
42,ENGINEER,RUN_LEFT,RUN,777.600,270.000,true,false,-1,-1.00000,0.00000,1.00531,3,100,774.600,270.000
43,REPAIR,RUN_LEFT,RUN,780.000,270.000,true,false,-1,-1.00000,0.00000,3.14159,3,100,777.000,270.000
43,SCOUT,RUN_LEFT,RUN,803.400,270.000,true,false,-1,-1.00000,0.00000,1.35088,3,100,800.400,270.000
43,WARDEN,RUN_LEFT,RUN,756.600,270.000,true,false,-1,-1.00000,0.00000,4.93230,3,100,753.600,270.000
43,ENGINEER,RUN_LEFT,RUN,772.800,270.000,true,false,-1,-1.00000,0.00000,1.75929,3,100,769.800,270.000
44,REPAIR,RUN_LEFT,RUN,775.000,270.000,true,false,-1,-1.00000,0.00000,3.92699,3,100,772.000,270.000
44,SCOUT,RUN_LEFT,RUN,797.750,270.000,true,false,-1,-1.00000,0.00000,2.23838,3,100,794.750,270.000
44,WARDEN,RUN_LEFT,RUN,752.250,270.000,true,false,-1,-1.00000,0.00000,5.61560,3,100,749.250,270.000
44,ENGINEER,RUN_LEFT,RUN,768.000,270.000,true,false,-1,-1.00000,0.00000,2.51327,3,100,765.000,270.000
45,REPAIR,RUN_LEFT,RUN,770.000,270.000,true,false,-1,-1.00000,0.00000,4.71239,3,100,767.000,270.000
45,SCOUT,RUN_LEFT,RUN,792.100,270.000,true,false,-1,-1.00000,0.00000,3.12588,3,100,789.100,270.000
45,WARDEN,RUN_LEFT,RUN,747.900,270.000,true,false,-1,-1.00000,0.00000,0.01571,3,100,744.900,270.000
45,ENGINEER,RUN_LEFT,RUN,763.200,270.000,true,false,-1,-1.00000,0.00000,3.26726,3,100,760.200,270.000
46,REPAIR,RUN_LEFT,RUN,765.000,270.000,true,false,-1,-1.00000,0.00000,5.49779,3,100,762.000,270.000
46,SCOUT,RUN_LEFT,RUN,786.450,270.000,true,false,-1,-1.00000,0.00000,4.01338,3,100,783.450,270.000
46,WARDEN,RUN_LEFT,RUN,743.550,270.000,true,false,-1,-1.00000,0.00000,0.69900,3,100,740.550,270.000
46,ENGINEER,RUN_LEFT,RUN,758.400,270.000,true,false,-1,-1.00000,0.00000,4.02124,3,100,755.400,270.000
47,REPAIR,RUN_LEFT,RUN,760.000,270.000,true,false,-1,-1.00000,0.00000,0.00000,3,100,757.000,270.000
47,SCOUT,RUN_LEFT,RUN,780.800,270.000,true,false,-1,-1.00000,0.00000,4.90088,3,100,777.800,270.000
47,WARDEN,RUN_LEFT,RUN,739.200,270.000,true,false,-1,-1.00000,0.00000,1.38230,3,100,736.200,270.000
47,ENGINEER,RUN_LEFT,RUN,753.600,270.000,true,false,-1,-1.00000,0.00000,4.77522,3,100,750.600,270.000
48,REPAIR,RUN_LEFT,RUN,755.000,270.000,true,false,-1,-1.00000,0.00000,0.78540,3,100,752.000,270.000
48,SCOUT,RUN_LEFT,RUN,775.150,270.000,true,false,-1,-1.00000,0.00000,5.78838,3,100,772.150,270.000
48,WARDEN,RUN_LEFT,RUN,734.850,270.000,true,false,-1,-1.00000,0.00000,2.06560,3,100,731.850,270.000
